ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
4283.0,3000.0,172.0,360.0,1.0,1,1,1,0,0,0,0,0,0,0
3357.0,2859.0,144.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
4384.0,1793.0,117.0,360.0,1.0,1,0,1,0,0,0,0,0,1,1
6096.0,0.0,218.0,360.0,0.0,1,1,0,0,0,1,0,0,0,0
2165.0,0.0,70.0,360.0,1.0,0,0,0,0,0,1,0,1,0,1
5488.0,0.0,125.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
6417.0,0.0,157.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
3103.0,1300.0,80.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3366.0,2200.0,135.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
2833.0,0.0,71.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
10171.25,0.0,261.5,360.0,1.0,1,1,0,0,1,0,0,0,0,1
4167.0,1447.0,158.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
2720.0,0.0,80.0,360.0,0.0,0,0,0,0,0,1,0,0,1,0
2425.0,2340.0,143.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
3481.0,0.0,155.0,360.0,1.0,0,0,1,0,0,0,0,1,0,0
4467.0,0.0,120.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
6080.0,2569.0,182.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
2395.0,0.0,146.41216216216216,360.0,1.0,1,1,1,0,0,0,1,1,0,1
9963.0,0.0,180.0,360.0,1.0,1,1,0,0,0,0,1,0,0,1
4283.0,2383.0,127.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1
3708.0,2569.0,173.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
2333.0,2417.0,136.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5468.0,1032.0,26.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
3427.0,0.0,138.0,360.0,1.0,0,0,0,1,0,0,0,0,1,0
3547.0,0.0,80.0,360.0,0.0,1,0,0,1,0,0,0,0,0,0
4566.0,0.0,100.0,360.0,1.0,1,1,0,1,0,0,0,0,1,0
5500.0,0.0,105.0,360.0,0.0,0,1,0,0,0,0,1,0,0,0
4226.0,1040.0,110.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
1993.0,1625.0,113.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
3406.0,4417.0,123.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
4200.0,1430.0,129.0,360.0,1.0,1,1,0,1,0,1,0,0,0,0
2253.0,2033.0,110.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
7085.0,0.0,84.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
1299.0,1086.0,17.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
2900.0,0.0,71.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
3333.0,3250.0,158.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
2192.0,1742.0,45.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
7787.0,0.0,240.0,360.0,1.0,1,1,1,0,0,0,1,0,1,1
5821.0,0.0,144.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5746.0,0.0,255.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
5333.0,1131.0,186.0,360.0,1.0,1,1,1,0,0,1,0,0,1,1
2577.0,3750.0,152.0,360.0,1.0,1,1,0,0,0,0,1,0,0,1
1880.0,0.0,61.0,360.0,1.0,1,1,1,0,0,0,0,0,0,0
2330.0,4486.0,100.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
3917.0,0.0,124.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
6783.0,0.0,130.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
5818.0,2160.0,184.0,360.0,1.0,1,1,0,0,0,0,1,1,0,1
10171.25,0.0,261.5,360.0,1.0,1,1,0,0,1,0,0,0,0,1
3466.0,3428.0,150.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
2755.0,0.0,65.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0
2014.0,2925.0,113.0,360.0,1.0,1,1,1,0,0,0,0,0,1,0
3510.0,0.0,76.0,360.0,0.0,0,0,0,0,0,0,0,0,1,0
10171.25,1126.0,225.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
1916.0,5063.0,67.0,360.0,1.0,1,0,0,0,0,0,0,0,0,0
5000.0,0.0,103.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
1820.0,1719.0,100.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
2620.0,2223.0,150.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
3273.0,1820.0,81.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
4133.0,0.0,122.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
1809.0,1868.0,90.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3095.0,0.0,113.0,360.0,1.0,1,1,0,0,1,1,0,0,0,1
10171.25,0.0,55.0,360.0,1.0,0,0,0,0,0,0,1,1,0,1
3010.0,3136.0,146.41216216216216,360.0,0.0,1,1,0,0,0,1,0,0,1,0
4666.0,0.0,135.0,360.0,1.0,0,1,1,0,0,0,0,0,1,1
3858.0,0.0,76.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
10171.25,0.0,96.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
4680.0,2087.0,146.41216216216216,360.0,1.0,1,0,0,0,0,0,0,1,0,0
3173.0,0.0,74.0,360.0,1.0,1,1,0,0,1,1,0,1,0,1
3100.0,1400.0,113.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
3013.0,3033.0,95.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
10171.25,0.0,185.0,360.0,1.0,1,1,1,0,0,0,0,0,0,1
2666.0,4300.0,121.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
2699.0,2785.0,96.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
3208.0,3066.0,172.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5316.0,0.0,136.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
10171.25,2100.0,261.5,360.0,1.0,1,1,0,0,0,0,0,0,0,0
10171.25,3000.0,261.5,360.0,1.0,1,0,0,0,1,0,0,0,0,0
4652.0,3583.0,146.41216216216216,360.0,1.0,1,1,0,0,0,0,0,1,0,1
2583.0,2167.0,104.0,360.0,1.0,1,0,0,0,0,1,1,0,0,1
2500.0,1840.0,109.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
5516.0,5743.125,261.5,360.0,0.0,1,1,0,0,1,0,0,1,0,0
5050.0,0.0,118.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
3748.0,1668.0,110.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
10171.25,0.0,146.41216216216216,360.0,1.0,1,1,0,0,0,0,0,0,1,1
4230.0,0.0,112.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
5703.0,0.0,130.0,360.0,1.0,1,1,0,0,1,1,1,0,0,1
1025.0,2773.0,112.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
3283.0,2035.0,148.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
9357.0,0.0,261.5,360.0,1.0,1,0,0,0,1,0,1,1,0,1
3246.0,1417.0,138.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
4300.0,2014.0,194.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
10171.25,0.0,83.0,360.0,1.0,1,0,0,0,0,0,1,0,1,0
3173.0,3021.0,137.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
10171.25,0.0,260.0,360.0,1.0,1,1,1,0,0,0,0,1,0,0
4583.0,0.0,84.0,360.0,1.0,0,1,0,0,0,0,0,0,0,0
10171.25,0.0,259.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
3500.0,1667.0,114.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
2661.0,5743.125,261.5,360.0,1.0,1,1,1,0,0,1,0,1,0,1
5819.0,5000.0,120.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
2071.0,754.0,94.0,360.0,1.0,1,1,0,0,1,1,0,1,0,1
3155.0,1779.0,140.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
2178.0,0.0,66.0,360.0,0.0,1,1,1,0,0,0,1,0,0,0
7933.0,0.0,261.5,360.0,1.0,1,1,0,0,0,0,0,0,1,0
3667.0,0.0,113.0,360.0,1.0,1,0,1,0,0,0,0,0,1,1
1000.0,3022.0,110.0,360.0,1.0,1,1,1,0,0,0,1,0,1,0
10171.25,0.0,261.5,360.0,1.0,0,1,1,0,0,0,0,1,0,1
3200.0,2254.0,126.0,360.0,0.0,1,0,0,0,0,1,0,0,1,0
3900.0,0.0,90.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
2500.0,0.0,96.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
6782.0,0.0,146.41216216216216,360.0,1.0,1,0,0,0,0,0,0,0,1,0
5042.0,2083.0,185.0,360.0,1.0,1,1,0,1,0,0,0,0,0,0
3254.0,0.0,50.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
4310.0,0.0,130.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
10171.25,0.0,110.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
5417.0,4196.0,261.5,360.0,1.0,1,1,0,1,0,0,1,0,1,1
9833.0,1833.0,182.0,360.0,1.0,1,1,1,0,0,0,1,0,1,1
2297.0,1522.0,104.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
2309.0,1255.0,125.0,360.0,0.0,1,1,0,1,0,1,0,0,0,0
